uid,sid
ba11d8e285a6fdcb71e0,0006f3798df1b6fd9eb0
32b4d75d2e9dd10d401e,000a4de91f0e04c5cf34
a1057a78c06ad0ef091a,000cb0598168098cd5ac
947824260dac6e211843,000f4dd02fe114f997e6
aad5c2a17cd26650ab67,000f9fe2676e78a3ec03
925a08d82a7b84411559,0011386edd913214acf9
cb708dc411ad9459d2e6,0016c6ed7d8745d1f2d4
ea94faa710e129b10227,001f53486039df97da82
e9951110e923132e1d92,0023e8be078ae7eadf9c
ad0eafe4177af038153f,002cf379975c23fc5269
e030115dc89c3ec2e031,002f76779b9f2cf76073
b4652a833faa0983755f,0031649eea196067caf6
db860b14d5c89dea8232,00326dfc03e2ef5f11dd
78b4ae0d87b61aa9eb0c,003621704004274ae033
ed5623d2c311415f9982,003cd3030e78973ff001
342a230975e84c25b042,0043a71ba4ca9f8b1395
93714a454068d8aed488,004f025eb6f9a9aadb77
ab0c7226bebff7a962e5,0052ff02c875028dbf59
d08db1ed313a0138c56a,0054192df74b20f5bd55
4a1c9fa01d343e21f319,00556ad42ceb36ddf6d8
2bbba2370e9d80ac8496,005720d51ae9a73e11c9
1a44102165a720e8e0c1,005cb5adf26e6846ce38
e30349bff6e5ce43729e,005ecdf06709c5db8561
0b8692df865037101506,0062d1c6fe59d790d7d9
69695eefa3dcfea71d90,006471ba097585a817e6
220bdac9d1e1ea415bbc,00670f6923db59ec7ba3
81554cf72ade0fa75694,0067355bfb2aedbe0893
177c2c2f22be10805e9e,006988e864d0d8b2cae1
b8d3d577833723f3a0e9,006af764abdb161168c5
37515421b0fa2504082d,006baec311b7434881dd
f2f51a0596d72a595eab,0070a80ca762a3ffe858
de811a80d27812efeee8,007b85b149a26afa110a
00a68650298bfb428d5b,007bc4d2f31a5f3fb297
45441538c7dcff6d185d,0086c63a088c85a8134d
f19392170e7c816a62a1,0089652879db5e171973
dcd1c795613df59fb22f,0091315eca5ca5ab7326
36a78b1e50496cbed99f,00913584d7e2cee2172b
3d237ec1c16f93b81372,0091d2ffe7d9c01a5259
f67aea4bbfadef7117c6,0094410523c9f749bb2d
37339bbc5a34384a2173,00978a157238ea32fc13
4b69fcb18781be0d5184,009bc34b1f490500235e
511930c2bbac4c68a6a9,00a406785db72a49e5e0
c25377e029e968747e7b,00a4118a6d94a1a487a9
1ec5ed279bfb4d980219,00a520447683a141115b
b0b5a5f72b730e3aa04d,00a55c6e1702cd39f2f2
b02bd75fa25951b861c5,00a8737ca9cd5f45c57c
21acf0122b31b502dbf2,00ab7bf6ee5e2ee1b940
fad42deb25823e4af489,00ab9955794ad6abad76
d92241c5ac13f2d9431c,00ade0e8b1e69cff1ebe
352cdb9f01519f93ae68,00ae275b44d75b952fbc
7b5ce5a6f315808e6965,00b98e1acfb07543e541
40ca9dd680630a20cf12,00bb38b766c3eda72f50
5d8276235a580f6ca753,00c0ee20ba1824f13ec4
a631f6b2e1806cb1b794,00c54312bc80e34ee00a
a1e4b7506cf537b98139,00c63fd428baa975705d
a6a4769662c7d3894aeb,00ca0d3a4741ba269113
497f1de87e0d55866dff,00d23a6f1c3b4f8e80b0
94bf84da3bd17667a243,00d4545d6b567e8342db
39166aeaff063af9a0fc,00d9410d20b624d5d525
f1ab0bf019c6679e32f9,00da14176f45fbab3142
7b4fde6febb0c783dbac,00db30a6ef607bbc81bf
df32ce61cf45a9bd4a79,00dda290f85310abf27d
1d0a17255919d78eb705,00ddee525a5fec125a41
ba1d1424c43ce5b091c8,00df5bea631c8bb8bc57
c9ac6ce9def18b77af4c,00e0d24c198f1a6f7895
01fb348760b7ae274a30,00e0d68efb45a4e3e788
9210f176e0b05a95aba3,00e337faab7e284bef6e
fa146bb64b3403879cef,00eb1f66724232090e06
422186eca22baf88faa7,00f0aa726c78fdb5a92a
a5dce479e6b38f63c55e,00f8f9c9616ce813e11e
e398d19c2f8c82ae93a3,01021fa6f88903c22b35
aa80f543bbb7b134c9ee,01097fbaa390f522e168
5165912d928915689bb5,010f77d9971995fbc2d4
a91458b3eb50e40230ef,01106d68becc56f7e506
f43a605d4527c86cb676,011137118b2a7ec05ed1
712b80b57d9641dc9186,011408900d6607588a1e
c69c10eb34459f6980a8,011da3e436c69cae9e9b
1dffed94da4da6488423,011f277f87545cbd0c04
36b8f91f045403b3c036,012174c94aee64fcbe97
bf5a9a9a215320e0489f,0122722332b24bd45993
20d30737d6935da5a671,0123652a8d3c98bb86b7
ba5bd65cc18d53ac3602,012831d1a7105f063cd3
349a93b397582675d406,012c70a778d3d74ae0aa
08c271f16429e32f232b,012caa875ef009990246
afd93db1c628d28a1c46,012d3534ac362f022a48
